Solvent,Abbrev,Formula,MW,BP,MP,Density,Solubility,Dielectric,Flash,Molarity
acetic acid,ACA,C2H4O2,60.052,118,16.6,1.0446,Miscible,6.2,39,17.3949244
acetone,ACT,C3H6O,58.079,56.05,-94.7,0.7845,Miscible,21.01,-20,13.50746397
acetonitrile,ACN,C2H3N,41.052,81.65,-43.8,0.7857,Miscible,36.64,6,19.1391406
benzene,BNZ,C6H6,78.11,80.1,5.5,0.8765,0.18,2.28,-11,11.2213545
1-butanol,BOH,C4H10O,74.12,117.7,-88.6,0.8095,6.3,17.8,37,10.92147868
2-butanol,BTH,C4H10O,74.12,99.5,-88.5,0.8063,15,17.26,24,10.87830545
2-butanone,BNO,C4H8O,72.11,79.6,-86.6,0.7999,25.6,18.6,-9,11.09277493
t-butyl alcohol,TBH,C4H10O,74.12,82.4,25.7,0.7887,Miscible,12.5,11,10.64085267
carbon tetrachloride,CCL,CCl4,153.82,76.8,-22.6,1.594,0.08,2.24,--,10.36276167
chlorobenzene,CBZ,C6H5Cl,112.56,131.7,-45.3,1.1058,0.05,5.69,28,9.824093817
chloroform,CFM,CHCl3,119.38,61.2,-63.4,1.4788,0.795,4.81,--,12.38733456
cyclohexane,CHX,C6H12,84.16,80.7,6.6,0.7739,0.0055,2.02,-20,9.195579848
dibutyl-ether,DBE,C8H18O,130.231,141,-95,0.77,??,??,--,5.91257074
"1,2-dichloroethane",DCE,C2H4Cl2,98.96,83.5,-35.7,1.245,0.861,10.42,13,12.58084074
diethylene glycol,DEG,C4H10O3,106.12,246,-10,1.1197,10,31.8,124,10.55126272
diethyl ether,DEE,C4H10O,74.12,34.5,-116.2,0.713,7.5,4.267,-45,9.619535888
diglyme (diethylene glycol dimethyl ether),DGY,C6H14O3,134.17,162,-68,0.943,Miscible,7.23,67,7.02839681
"1,2-dimethoxy-ethane (glyme, DME)",DME,C4H10O2,90.12,84.5,-69.2,0.8637,Miscible,7.3,-2,9.583888149
dimethyl-formamide (DMF),DMF,C3H7NO,73.09,153,-60.48,0.9445,Miscible,38.25,58,12.92242441
dimethyl sulfoxide (DMSO),DMS,C2H6OS,78.13,189,18.4,1.092,Miscible,47,95,13.97670549
"1,4-dioxane",DOX,C4H8O2,88.11,101.1,11.8,1.033,Miscible,2.21(25),12,11.72398139
ethanol,EOH,C2H6O,46.07,78.5,-114.1,0.789,Miscible,24.6,13,17.12611244
ethyl acetate,ETA,C4H8O2,88.11,77,-83.6,0.895,8.7,6(25),-4,10.15775735
ethylene glycol,ETG,C2H6O2,62.07,195,-13,1.115,Miscible,37.7,111,17.9635895
glycerin,GLC,C3H8O3,92.09,290,17.8,1.261,Miscible,42.5,160,13.69312629
heptane,HEP,C7H16,100.2,98,-90.6,0.684,0.01,1.92,-4,6.826347305
hexamethylphosphoramide,HMA,C6H18N3OP,179.2,232.5,7.2,1.03,Miscible,31.3,105,5.747767857
hexamethylphosphorous triamide (HMPT),HMP,C6H18N3P,163.2,150,-44,0.898,Miscible,??,26,5.50245098
hexane,HEX,C6H14,86.18,69,-95,0.659,0.0014,1.89,-22,7.646785797
methanol,MOH,CH4O,32.04,64.6,-98,0.791,Miscible,32.6(25),12,24.68789014
methyl t-butyl ether (MTBE),MTB,C5H12O,88.15,55.2,-109,0.741,5.1,??,-28,8.406125922
methylene chloride,DCM,CH2Cl2,84.93,39.8,-96.7,1.326,1.32,9.08,--,15.61285765
N-methyl-2-pyrrolidinone,NMP,CH5H9NO,99.13,202,-24,1.033,Miscible,32,91,10.42065974
nitromethane,NME,CH3NO2,61.04,101.2,-29,1.382,9.5,35.9,35,22.64089122
pentane,PEN,C5H12,72.15,36.1,-129.7,0.626,0.04,1.84,-49,8.676368676
petroleum ether (ligroine),PET,--,60,30-60,-40,0.656,--,--,-30,--
1-propanol,POH,C3H8O,60.1,97,-126,0.803,Miscible,20.1(25),22,13.36106489
2-propanol,PRH,C3H8O,60.1,82.4,-88.5,0.785,Miscible,18.3(25),12,13.06156406
pyridine,PRD,C5H5N,79.1,115.2,-41.6,0.982,Miscible,12.3(25),17,12.41466498
tetrahydrofuran (THF),THF,C4H8O,72.106,65,-108.4,0.8833,soluble²,7.52,-14,12.2500208
toluene,TOL,C7H8,92.14,110.6,-93,0.867,0.05,2.38(25),4,9.409594096
triethyl amine,TEA,C6H15N,101.19,88.9,-114.7,0.728,0.02,2.4,-11,7.194386797
water,WAT,H2O,18.02,100,0,0.998,--,78.54,--,55.38290788
"water, heavy",WAD,D2O,20.03,101.3,4,1.107,Miscible,??,--,55.26709935
o-xylene,OXY,C8H10,106.17,144,-25.2,0.897,Insoluble,2.57,32,8.448714326
m-xylene,MXY,C8H10,106.17,139.1,-47.8,0.868,Insoluble,2.37,27,8.175567486
p-xylene,PXY,C8H10,106.17,138.4,13.3,0.861,Insoluble,2.27,27,8.10963549